movi_name,name
Jesus of Nazareth,"Robert Powell,Olivia Hussey,Laurence Olivier,James Mason,Anne Bancroft,Ernest Borgnine,Claudia Cardinale,Valentina Cortese,James Farentino,James Earl Jones,Stacy Keach,Tony Lo Bianco,Ian McShane,Donald Pleasence,Christopher Plummer,Anthony Quinn,Fernando Rey,Ralph Richardson"
Luther,"Idris Elba,Dermot Crowley,Michael Smiley,Warren Brown,Ruth Wilson,Paul McGann,Nikki Amuka-Bird,Steven Mackintosh,Saskia Reeves,Indira Varma,Patrick Malahide,Sienna Guillory,Aimee-Ffion Edwards,David O'Hara,Kierston Wareing,Michael Obiora,Anton Valensi,Enzo Cilenti"
The Sopranos,"James Gandolfini,Lorraine Bracco,Edie Falco,Michael Imperioli,Steven Van Zandt,Robert Iler,Tony Sirico,Jamie-Lynn Sigler,Dominic Chianese,Aida Turturro,Steve Schirripa,Drea de Matteo,Dan Grimaldi,Joseph R. Gannascoli,Sharon Angela,John Ventimiglia,Vincent Curatola,Frank Vincent"
Happy Valley,"Sarah Lancashire,Siobhan Finneran,Charlie Murphy,James Norton,Rhys Connah,Rick Warden,Shane Zaza,Karl Davies,Vincent Franklin,Ishia Bennison,George Costigan,Chord Melodic,Jill Baker,Derek Riddell,Kevin Doyle,Joe Armstrong,Steve Pemberton,Adam Long"
Foyle's War,"Michael Kitchen,Honeysuckle Weeks,Anthony Howell,Ellie Haddington,Julian Ovenden,Jay Simpson,Tim McMullan,Daniel Weyman,Jeremy Swift,Rupert Vansittart,Geoffrey Freshwater,Mali Harries,Michael Simkins,Hermione Gulliford,Max Brown,Alex Clatworthy,Jay Benedict,Jonah Lotan"
"Love, Death & Robots","Scott Whyte,Nolan North,Steven Pacey,Emily O'Brien,Fred Tatasciore,Matthew Yang King,Michelle C. Bonilla,Chris Cox,Ike Amadi,Noshir Dalal,Piotr Michael,Mary Elizabeth Winstead,Kevin Michael Richardson,Maurice LaMarche,Samira Wiley,Josh Brener,Helen Sadler,Graham Hamilton"
I Love Lucy,"Lucille Ball,Desi Arnaz,Vivian Vance,William Frawley,Joseph A. Mayer,Michael Mayer,Richard Keith,Bennett Green,Hazel Pierce,Louis Nicoletti,Jerry Hausner,Elizabeth Patterson,Frank Nelson,Doris Singleton,Barbara Pepper,Kathryn Card,Richard Reeves,Bob Jellison"
My Brilliant Friend,"Alba Rohrwacher,Margherita Mazzucco,Gaia Girace,Annarita Vitolo,Alessio Gallo,Valentina Acca,Giovanni Amura,Antonio Buonanno,Gennaro De Stefano,Francesco Serpico,Elvis Esposito,Luca Gallone,Fabrizio Cottone,Ulrike Migliaresi,Chiara Di Costanzo,Pina Di Gennaro,Sarah Falanga,Anna Cerchia"
Southland,"Michael Cudlitz,Shawn Hatosy,Regina King,Ben McKenzie,C. Thomas Howell,Arija Bareikis,Jamie McShane,Michael McGrady,Dorian Missick,Kevin Alejandro,Tom Everett Scott,Emily Bergl,Roxana Brusso,Mario Cortez,Lucy Liu,Jenny Gago,Lex Medlin,Patrick Fischler"
Your Lie in April,"Natsuki Hanae,Risa Taneda,Ayane Sakura,Ryôta Ôsaka,Erika Harlacher,Amanda Céline Miller,Abelina Sabrina Rios,Erik Scott Kimerer,Julie Ann Taylor,Adin Rudd,Jennifer Alyx,Christina McBride,Megan Crockett,Ryan Raydarke,Erica Lindbeck,Max Mittelman,Erica Mendez,Kyle McCarley"
